Date,Close,sentiment_raw,headlines,sentiment_disc,sentiment_disc_lag1,sentiment_raw_lag1,sentiment_disc_lag2,sentiment_raw_lag2,sentiment_disc_lag3,sentiment_raw_lag3,MA_30,Momentum,LogReturn,Volatility,Momentum_Score,Volatility_Score,Sentiment_Score,MFGI,MFGI_lag1,MFGI_lag2,MFGI_lag3
2021-09-06,52633.53515625,0.3996031045913696,0.0,1.0,1.0,0.3996031045913696,1.0,0.3996031045913696,1.0,0.3996031045913696,47806.40729166667,1.100972403869068,0.016863140380221964,0.029739941126405996,50.0,50.0,50.0,50.0,,,
2021-09-07,46811.12890625,0.3996031045913696,0.0,1.0,1.0,0.3996031045913696,1.0,0.3996031045913696,1.0,0.3996031045913696,47906.841015625,0.9771282746650394,-0.11723249529729962,0.03708169397141523,0.0,0.0,50.0,15.0,50.0,,
2021-09-08,46091.390625,0.3996031045913696,0.0,1.0,1.0,0.3996031045913696,1.0,0.3996031045913696,1.0,0.3996031045913696,47897.707291666666,0.962288034880932,-0.015494793572990773,0.03572800395737565,0.0,18.438240058159792,50.0,20.53,15.0,50.0,
2021-09-09,46391.421875,0.3996031045913696,0.0,1.0,1.0,0.3996031045913696,1.0,0.3996031045913696,1.0,0.3996031045913696,47924.58697916667,0.9680087988064842,0.006488390533952781,0.03560468643578371,4.125024303237518,20.117914165900558,50.0,22.69,20.53,15.0,50.0
2021-09-10,44883.91015625,0.3996031045913696,0.0,1.0,1.0,0.3996031045913696,1.0,0.3996031045913696,1.0,0.3996031045913696,47900.929427083334,0.9370154335851466,-0.03303518664446514,0.03613024806256136,0.0,12.959383527881101,50.0,18.89,22.69,20.53,15.0
2021-09-11,45201.45703125,0.3996031045913696,0.0,1.0,1.0,0.3996031045913696,1.0,0.3996031045913696,1.0,0.3996031045913696,47926.70169270833,0.9431372373811203,0.007049939410356032,0.03583200801947122,3.7337868499111027,17.021629280172775,50.0,21.6,18.89,22.69,20.53
2021-09-12,46063.26953125,0.3996031045913696,0.0,1.0,1.0,0.3996031045913696,1.0,0.3996031045913696,1.0,0.3996031045913696,47869.03333333333,0.962276994617606,0.01888655452823862,0.03333475861166769,15.40743341909426,51.03597790403186,50.0,36.47,21.6,18.89,22.69
2021-09-13,44963.07421875,0.3996031045913696,0.0,1.0,1.0,0.3996031045913696,1.0,0.3996031045913696,1.0,0.3996031045913696,47797.904296875,0.9406913311404254,-0.024174296052118294,0.033511495487361445,2.241989193209208,48.62869343907062,50.0,30.49,36.47,21.6,18.89
2021-09-14,47092.4921875,0.3996031045913696,0.0,1.0,1.0,0.3996031045913696,1.0,0.3996031045913696,1.0,0.3996031045913696,47799.420572916664,0.9852105239573299,0.04627200677790988,0.034630658806600226,29.39496276902695,33.384877107122534,50.0,36.77,30.49,36.47,21.6
2021-09-15,48176.34765625,0.3996031045913696,0.0,1.0,1.0,0.3996031045913696,1.0,0.3996031045913696,1.0,0.3996031045913696,47871.816015625,1.0063613972890773,0.02275460131450835,0.03460313604673242,42.29522147417426,33.75975706356934,50.0,42.05,36.77,30.49,36.47
2021-09-16,47783.359375,0.3996031045913696,0.0,1.0,1.0,0.3996031045913696,1.0,0.3996031045913696,1.0,0.3996031045913696,47974.749348958336,0.9960106102365183,-0.008190739435939065,0.03417992240305778,35.98210954326049,39.52423392092271,50.0,41.25,42.05,36.77,30.49
2021-09-17,47267.51953125,0.3996031045913696,0.0,1.0,1.0,0.3996031045913696,1.0,0.3996031045913696,1.0,0.3996031045913696,48056.96041666667,0.9835728086301754,-0.010854079709277542,0.03426318756530912,28.396093782659058,38.39010200434726,50.0,37.88,41.25,42.05,36.77
2021-09-18,48278.36328125,0.3996031045913696,0.0,1.0,1.0,0.3996031045913696,1.0,0.3996031045913696,1.0,0.3996031045913696,48108.986588541666,1.0035206871879665,0.021160126154024184,0.03362986495828846,40.56262657674993,47.0164153710684,50.0,45.33,37.88,41.25,42.05
2021-09-19,47260.21875,0.3996031045913696,0.0,1.0,1.0,0.3996031045913696,1.0,0.3996031045913696,1.0,0.3996031045913696,48039.68802083333,0.9837744726715274,-0.021314594702564804,0.032294801055993035,28.519091933334085,65.20095427451255,50.0,45.97,45.33,37.88,41.25
2021-09-20,42843.80078125,0.3996031045913696,0.0,1.0,1.0,0.3996031045913696,1.0,0.3996031045913696,1.0,0.3996031045913696,47837.631640625,0.8956087354639417,-0.09810793836995657,0.03679906833526406,0.0,3.849566201936341,50.0,16.15,45.97,45.33,37.88
2021-09-21,40693.67578125,0.3996031045913696,0.0,1.0,1.0,0.3996031045913696,1.0,0.3996031045913696,1.0,0.3996031045913696,47550.032421875,0.8558075296396477,-0.05148826786332528,0.03769267235421444,0.0,0.0,50.0,15.0,16.15,45.97,45.33
2021-09-22,43574.5078125,0.3996031045913696,0.0,1.0,1.0,0.3996031045913696,1.0,0.3996031045913696,1.0,0.3996031045913696,47350.977734375,0.9202451543226862,0.06839960199678252,0.0400611445405448,26.28338373740239,0.0,50.0,25.51,15.0,16.15,45.97
